"","p","b","e","w"
"528",0.05,3e+06,3e+06,3e+06
"529",0.3,1e+06,1e+06,1e+06
"530",0.3,1e+06,1e+06,1e+06
"531",0.3,1e+06,1e+06,1e+06
"532",0.5,3e+06,3e+06,3e+06
"533",0.5,3e+06,3e+06,3e+06
"534",0.5,3e+06,3e+06,3e+06
"535",0.5,3e+06,3e+06,3e+06
"536",0.5,3e+06,3e+06,3e+06
"537",0.5,3e+06,3e+06,3e+06
"538",0.5,3e+06,3e+06,3e+06
"539",0.5,3e+06,3e+06,3e+06
"540",0.5,3e+06,3e+06,3e+06
"541",0.5,3e+06,3e+06,3e+06
"542",0.5,3e+06,3e+06,3e+06
"543",0.5,3e+06,3e+06,3e+06
"544",0.5,3e+06,3e+06,3e+06
"545",0.5,3e+06,3e+06,3e+06
"546",0.5,3e+06,3e+06,3e+06
"547",0.5,3e+06,3e+06,3e+06
"548",0.5,3e+06,3e+06,3e+06
"549",0.5,680474,680474,680474
"550",0.5,680474,680474,680474
"551",0.5,680474,680474,680474
"552",0.5,2153765,2153765,2153765
"553",0.5,2153765,2153765,2153765
"554",0.5,2153765,2153765,2153765
"555",0.1,1e+06,1e+06,1e+06
"556",0.1,1e+06,1e+06,1e+06
"557",0.1,1e+06,1e+06,1e+06
"558",0.1,1e+06,1e+06,1e+06
"559",0.1,1e+06,1e+06,1e+06
"560",0.1,1e+06,1e+06,1e+06
"561",0.1,5e+05,5e+05,5e+05
"562",0.1,5e+05,5e+05,5e+05
"563",0.1,5e+05,5e+05,5e+05
"564",0.1,5e+05,5e+05,5e+05
"565",0.1,5e+05,5e+05,5e+05
"566",0.1,5e+05,5e+05,5e+05
"567",0.5,1e+06,1e+06,1e+06
"568",0.5,1e+06,1e+06,1e+06
"569",0.5,1e+06,1e+06,1e+06
"570",0.5,1e+06,1e+06,1e+06
"571",0.5,1e+06,1e+06,1e+06
"572",0.5,1e+06,1e+06,1e+06
"573",0.5,3e+06,3e+06,3e+06
"574",0.5,3e+06,3e+06,3e+06
"575",0.5,3e+06,3e+06,3e+06
"576",0.5,3e+06,3e+06,3e+06
"577",0.5,3e+06,3e+06,3e+06
"578",0.5,3e+06,3e+06,3e+06
"579",0.5,790000,790000,790000
"580",0.5,790000,790000,790000
"581",0.5,790000,790000,790000
"582",0.5,790000,790000,790000
"583",0.5,790000,790000,790000
"584",0.5,790000,790000,790000
"585",0.5,790000,790000,790000
"586",0.5,790000,790000,790000
"587",0.5,790000,790000,790000
"588",0.5,790000,790000,790000
"589",0.5,790000,790000,790000
"590",0.5,790000,790000,790000
"591",0.5,790000,790000,790000
"592",0.5,790000,790000,790000
"593",0.5,790000,790000,790000
"594",0.5,790000,790000,790000
"595",0.5,790000,790000,790000
"596",0.63,501000,1250500,2e+06
"597",0.63,501000,1250500,2e+06
"598",0.355,101000,300500,5e+05
"599",0.355,101000,300500,5e+05
"600",0.88,2100000,11050000,2e+07
"601",0.88,2100000,11050000,2e+07
"602",0.88,2100000,11050000,2e+07
"603",0.88,2100000,11050000,2e+07
"604",0.88,2100000,11050000,2e+07
"605",0.88,2100000,11050000,2e+07
"606",0.88,2100000,11050000,2e+07
"607",0.88,2100000,11050000,2e+07
"608",0.88,2100000,11050000,2e+07
"609",0.88,2100000,11050000,2e+07
"610",0.88,2100000,11050000,2e+07
"611",0.88,2100000,11050000,2e+07
"612",0.13,25000,25000,25000
"613",0.355,0,25000,50000
"614",0.355,0,25000,50000
"615",0.355,0,25000,50000
"616",0.355,0,25000,50000
"617",0.355,0,25000,50000
"618",0.355,0,25000,50000
"619",0.355,0,25000,50000
"620",0.355,0,25000,50000
"621",0.355,0,25000,50000
"622",0.355,0,25000,50000
"623",0.355,0,25000,50000
